철도운영기관명,선명,역명,경도,위도
부산교통공사,4호선,미남,129.069172,35.207116
부산교통공사,4호선,동래,129.077082,35.204834
부산교통공사,4호선,수안,129.083806,35.201828
부산교통공사,4호선,낙민,129.090774,35.200254
부산교통공사,4호선,충렬사(안락),129.097636,35.199859
부산교통공사,4호선,명장,129.101517,35.205143
부산교통공사,4호선,서동,129.107683,35.213333
부산교통공사,4호선,금사,129.115153,35.215829
부산교통공사,4호선,반여농산물시장,129.124061,35.217779
부산교통공사,4호선,석대,129.137179,35.21811162
부산교통공사,4호선,영산대(아랫반송),129.146149,35.225777
부산교통공사,4호선,윗반송,129.154024,35.232506
부산교통공사,4호선,고촌,129.1604437,35.236031
부산교통공사,4호선,안평(고촌주택단지),129.171823,35.237363
