철도운영기관명,선명,역명,경도,위도
코레일,동해,부전,129.06011,35.164668
코레일,동해,거제해맞이,129.069315,35.182197
코레일,동해,거제(법원·검찰청),129.073904,35.188587
코레일,동해,교대,127.013814,37.492975
코레일,동해,동래,129.078502,35.205614
코레일,동해,안락,129.101062,35.195907
코레일,동해,부산원동,128.920499,35.362703
코레일,동해,재송,129.120919,35.189
코레일,동해,센텀,129.131659,35.168921
코레일,동해,벡스코,129.13868,35.16899
코레일,동해,신해운대,129.176696,35.181832
코레일,동해,송정,126.791535,35.137559
코레일,동해,오시리아,129.208291,35.196256
코레일,동해,기장,129.218551,35.243027
코레일,동해,일광,129.233307,35.265565
코레일,동해,좌천,129.241097,35.311838
코레일,동해,월내,129.272625,35.328177
코레일,동해,서생,129.28904,35.345121
코레일,동해,남창,129.278077,35.419713
코레일,동해,망양,129.283667,35.456519
코레일,동해,덕하,129.29894,35.494007
코레일,동해,개운포,129.31697,35.507884
코레일,동해,태화강,129.349169,35.538669
